"IndividualId","Time [min]","Organism|PeripheralVenousBlood|Metronidazole|Plasma (Peripheral Venous Blood) [µmol/l]","Organism|Myometrium|Metronidazole|Tissue [µmol/l]","Organism|Endometrium|Metronidazole|Tissue [µmol/l]"
0,5445,84.73919,61.21874,60.790485
0,5460,83.09525,59.96889,59.558212
0,5475,81.48059,58.765007,58.368298
0,5490,79.89739,57.59882,57.2139
0,5505,78.34669,56.465347,56.0909
0,5520,76.82892,55.361534,54.99672
0,5535,75.34416,54.285397,53.929665
0,5550,73.892296,53.235573,52.88851
0,5565,72.473015,52.21103,51.872326
0,5580,71.085915,51.210934,50.880325
0,5595,69.73053,50.234573,49.911827
0,5610,68.40631,49.2813,48.966206
0,5625,67.11269,48.350525,48.04288
0,5640,65.84909,47.44169,47.14131
0,5655,64.61441,46.553913,46.260197
0,5670,63.405876,45.684772,45.39726
0,5685,62.22366,44.83442,44.55321
0,5700,61.067554,44.002903,43.72797
0,5715,59.937183,43.189983,42.921227
0,5730,58.832123,42.395363,42.132675
0,5745,57.751945,41.618717,41.36199
0,5760,56.694736,40.858635,40.606647
